"","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueDragons","blueHeralds","blueTowersDestroyed","blueAvgLevel","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueWins","blueGoldDiff","blueExperienceDiff"
"28",5,-1,1,3,-3,7,-1,-1,0,0,0.4,26,12,0,1857,2015
"29",40,2,1,2,-2,2,1,1,0,0,0,-6,13,0,1320,-413
"30",0,2,-1,-5,5,-10,1,1,0,0,-0.600000000000001,8,0,0,-3282,-1647
"31",1,3,1,5,-5,8,1,1,0,0,0.8,1,4,1,2883,2111
"32",2,2,1,3,-3,4,2,1,1,0,0.399999999999999,12,3,1,1703,1696
"33",-7,1,-1,2,-2,3,-1,-1,0,0,0,-3,-12,0,608,-85
"34",1,1,1,1,-1,0,-1,-1,0,0,0,-21,7,0,71,-359
"35",25,1,-1,2,-2,-1,-1,-1,0,0,0.2,-19,-6,1,275,872
"36",7,1,-1,-1,1,-1,-2,-1,-1,0,0,17,2,0,-809,638
"37",-2,2,-1,-6,6,-3,1,1,0,0,-0.2,-17,20,0,-2771,-1125
"38",-20,-2,1,-1,1,-2,0,-1,1,0,-0.2,-11,-19,0,-1730,-1236
"39",-7,2,-1,-2,2,-4,0,-1,1,0,0.2,7,28,0,-904,1377
"40",-18,-1,-1,-3,3,-3,0,-1,1,0,-0.4,-23,4,0,-1683,-1363
"41",-13,3,-1,-7,7,-13,-1,-1,0,0,-0.4,9,9,0,-3025,-1833
"42",20,-1,-1,4,-4,5,0,0,0,0,0.4,46,5,1,3004,2300
"43",1,1,-1,3,-3,8,1,1,0,0,0,10,-18,1,1574,761
"44",-7,1,1,0,0,-1,0,0,0,0,-0.4,12,-28,1,-1036,-1423
"45",-21,0,1,-1,1,0,0,-1,1,0,0.4,9,11,0,16,433
"46",29,-1,-1,-9,9,-6,-1,0,-1,-1,-0.8,-60,-24,0,-6386,-4210
"47",-1,1,1,9,-9,7,0,0,0,0,1.2,55,-5,1,5096,3310
"48",6,-4,1,4,-4,0,1,1,0,1,0.2,18,-3,1,2756,1683
"49",3,-2,-1,-1,1,1,1,0,1,0,-0.2,-38,-12,1,-977,-1025
"50",-22,-5,-1,0,0,2,0,0,0,0,-0.4,-35,12,0,-808,-1655
"51",-8,-4,-1,-2,2,-8,-1,-1,0,0,-0.2,3,-3,0,-1559,-407
"52",6,-1,-1,-2,2,-1,0,0,0,0,0,31,5,1,544,75
"53",6,1,1,3,-3,1,2,1,1,0,0,5,-7,1,1381,1017
"54",22,1,1,2,-2,0,-1,-1,0,0,0.4,38,-14,1,2031,1449
"55",-6,2,-1,0,0,1,1,1,0,0,-0.2,19,-8,0,131,370
"56",-14,0,-1,-6,6,-7,0,-1,1,0,-0.4,23,-1,0,-2699,-2749
"57",3,0,1,-2,2,1,1,1,0,0,-0.600000000000001,-37,-13,0,-1672,-2698
"58",1,-1,1,4,-4,6,1,1,0,0,0.4,-21,-2,1,1201,316
"59",15,-1,1,2,-2,1,2,1,1,0,0.2,-25,11,1,-108,59
"60",-8,-1,-1,3,-3,5,-1,-1,0,1,0.600000000000001,54,13,0,4633,2269
"61",0,1,-1,-5,5,-4,-1,-1,0,0,-0.2,-27,14,0,-2262,-1391
"62",7,1,-1,-1,1,-5,-1,-1,0,0,0.2,1,25,0,-49,500
"63",-18,-1,1,2,-2,-1,0,1,-1,0,0,-3,-2,1,1687,1089
"64",108,0,1,8,-8,9,2,1,1,0,0.8,-4,28,1,3933,2922
"65",-4,2,-1,-6,6,-3,1,1,0,0,-0.800000000000001,-21,-31,0,-4061,-4397
"66",37,1,-1,-6,6,-4,-1,0,-1,-1,-0.800000000000001,-52,-20,0,-4920,-3280
"67",8,-2,-1,-1,1,1,0,0,0,0,-0.2,-17,-10,0,-1705,-1839
"68",8,-1,1,-1,1,3,0,1,-1,0,-0.2,12,4,0,105,-1547
"69",3,-1,-1,-2,2,-3,-1,-1,0,0,0.2,-1,13,1,-554,521
"70",1,1,1,-1,1,-1,-1,-1,0,0,-0.2,-43,9,0,-1037,-1577
"71",3,-3,1,1,-1,-4,0,-1,1,-1,0,3,17,0,-1144,480
"72",24,-1,1,1,-1,3,-1,-1,0,0,0.2,14,-31,1,1173,953
"73",5,-1,1,6,-6,9,-1,-1,0,0,0.4,24,-7,0,3194,2534
"74",1,3,1,-5,5,-6,1,1,0,0,-0.2,12,2,0,-2622,-1136
"75",0,1,1,2,-2,1,0,1,-1,0,0.2,37,2,1,1151,470
"76",2,2,1,2,-2,0,2,1,1,0,0.2,31,0,1,1463,1490
"77",-1,0,-1,-2,2,-4,-2,-1,-1,0,-0.2,-5,-14,0,-1038,-1307
"78",4,-2,1,4,-4,2,1,0,1,0,0.199999999999999,32,-21,1,1424,1060
"79",6,-3,-1,4,-4,13,1,1,0,0,0.4,16,-19,1,527,721
"80",-35,1,-1,1,-1,3,-2,-1,-1,0,0.4,44,-14,0,1807,932
"81",27,6,1,7,-7,6,0,-1,1,0,0.2,46,-29,0,2856,1262
"82",-1,0,-1,0,0,7,0,1,-1,0,-0.4,-37,0,0,-964,-2454
"83",-22,-5,-1,-1,1,0,0,-1,1,0,0.2,21,4,0,-178,524
"84",2,3,-1,1,-1,-1,1,1,0,0,0,28,-3,1,705,192
"85",1,-1,-1,0,0,-2,1,1,0,0,0,-2,11,1,908,306
"86",-11,2,-1,5,-5,9,2,1,1,0,0.4,41,12,1,3558,3243
"87",-41,5,-1,-5,5,-3,-1,-1,0,0,-0.2,23,9,0,-1299,-49
"88",-3,2,-1,-3,3,1,1,1,0,0,-0.600000000000001,-47,8,1,-1763,-1864
"89",3,-1,-1,6,-6,8,0,0,0,0,0.800000000000001,-15,23,1,2547,2189
"90",-7,0,-1,-7,7,-11,0,1,-1,0,-0.800000000000001,10,-14,0,-3685,-3119
"91",48,11,1,-4,4,-4,-1,-1,0,0,-0.8,-22,-34,0,-3689,-4682
"92",-16,0,1,-2,2,-4,-2,-1,-1,0,0.4,3,27,0,-764,803
"93",2,1,1,7,-7,3,-1,-1,0,0,0.600000000000001,10,10,1,3037,2694
"94",-5,1,1,0,0,-4,-1,-1,0,1,0.600000000000001,112,26,1,3545,2162
"95",-2,-2,-1,0,0,3,1,1,0,0,-0.2,-46,-12,0,-1031,-394
"96",1,-1,-1,-5,5,-9,-1,-1,0,0,0,-1,15,0,-1796,-749
"97",-1,4,1,1,-1,4,-1,-1,0,0,-0.2,44,-14,1,1626,747
"98",28,0,-1,-2,2,-1,0,-1,1,0,0.2,64,22,1,832,1330
"99",2,-2,-1,5,-5,2,2,1,1,0,0.4,39,0,1,2750,2647
"100",5,-2,-1,-3,3,-7,1,0,1,0,-0.2,41,-11,0,-1524,-827
"101",-4,2,1,-2,2,-7,1,1,0,0,-0.4,14,17,0,-1370,-875
"102",-3,0,-1,-2,2,-3,-1,-1,0,0,-0.4,-22,-1,0,-1506,-412
"103",-4,1,-1,-1,1,-3,-2,-1,-1,0,-0.4,-13,12,0,-1101,-718
"104",3,0,-1,5,-5,5,0,-1,1,0,0.600000000000001,27,-3,0,2774,2207
"105",11,-3,-1,-3,3,-4,-2,-1,-1,0,0,7,-11,0,-1806,-588
"106",-4,0,-1,2,-2,4,0,1,-1,0,0.2,41,-8,0,1265,1248
"107",1,0,-1,-8,8,-5,-1,-1,0,0,-1,-27,-20,1,-4443,-4140
"108",3,-1,-1,-2,2,-6,-1,-1,0,0,0.2,17,11,0,-927,967
"109",-2,1,1,4,-4,6,-2,-1,-1,0,0.2,13,-8,1,1425,728
"110",0,3,-1,2,-2,4,1,1,0,0,0.4,7,-11,1,1177,1161
"111",2,-3,1,-5,5,-12,0,1,-1,0,0.2,20,0,1,-1586,410
"112",1,0,-1,-5,5,-3,2,1,1,0,-0.600000000000001,-4,-32,0,-2896,-2081
"113",6,-2,-1,3,-3,1,0,0,0,0,0.2,-38,8,1,905,1054
"114",-14,0,1,-8,8,-4,0,0,0,0,-0.8,-24,-11,0,-3887,-3392
"115",16,0,1,6,-6,5,1,1,0,0,0.600000000000001,-8,8,1,3413,2984
"116",-18,0,1,-2,2,-2,2,1,1,0,-0.4,-2,-4,0,-256,-1580
"117",2,-2,1,-3,3,-4,0,0,0,0,-0.4,-4,-1,1,-1820,-1412
"118",-88,0,1,2,-2,8,1,1,0,0,-0.2,7,-9,1,625,-534
"119",-2,0,-1,-4,4,-3,-1,-1,0,0,-0.2,-70,0,0,-3628,-2009
"120",14,2,1,0,0,1,0,-1,1,0,0.399999999999999,-16,13,0,769,480
"121",0,2,-1,0,0,2,0,1,-1,0,0,31,-23,0,-576,-682
"122",-28,14,-1,-6,6,-6,-1,-1,0,0,-1.2,-42,-11,0,-3900,-3550
"123",-5,0,-1,1,-1,2,0,1,-1,0,-0.2,-17,-17,1,-7,-231
"124",-1,3,1,3,-3,5,-1,-1,0,0,0.2,-24,-12,1,1683,1433
"125",-1,-4,-1,-7,7,-9,-1,-1,0,0,-0.600000000000001,-52,-11,0,-4782,-3408
"126",24,2,1,2,-2,2,1,1,0,0,0.2,-10,-8,1,636,-214
"127",27,-3,-1,-7,7,-6,1,1,0,0,-1,-36,-12,1,-3421,-2624
"128",-21,2,-1,2,-2,1,1,1,0,0,0.4,10,19,1,976,1599
"129",23,-1,-1,-1,1,-1,-1,0,-1,0,-0.4,1,6,0,-211,-1305
"130",-17,2,-1,2,-2,1,0,0,0,0,0,18,4,1,1221,462
"131",-18,2,-1,6,-6,8,-1,-1,0,0,0.600000000000001,9,-44,1,2037,1291
"132",-23,3,1,3,-3,8,1,1,0,0,0.2,12,-22,1,817,-94
"133",3,1,1,0,0,3,-1,-1,0,0,0,-12,-24,1,-137,-351
"134",20,-3,1,-3,3,-8,1,1,0,0,-0.8,21,-19,1,-1539,-1497
"135",-49,2,-1,-2,2,-6,-1,-1,0,0,-0.6,-25,-3,0,-1707,-1286
"136",-4,0,-1,-3,3,-11,1,1,0,0,0.2,85,-5,1,-556,-235
"137",8,-2,1,2,-2,7,0,1,-1,0,-0.2,-26,-7,1,-146,-717
"138",0,-1,1,8,-8,8,0,-1,1,0,0.600000000000001,36,-15,1,4083,2884
"139",-21,-1,-1,0,0,-1,-1,-1,0,0,0.4,-3,15,1,1389,1418
"140",12,2,-1,-1,1,-2,0,1,-1,0,0,3,11,0,-890,-528
"141",-6,0,1,-5,5,-10,0,0,0,0,0,-2,-14,0,-2519,-1095
"142",77,0,-1,-11,11,-10,0,0,0,0,-1.2,-18,-21,0,-4440,-4020
"143",-2,2,1,1,-1,3,-2,-1,-1,0,0,61,8,1,1140,705
"144",2,-1,1,-2,2,-1,0,0,0,0,-0.399999999999999,-47,-11,0,-1656,-1832
"145",-14,1,-1,5,-5,10,-2,-1,-1,0,-0.199999999999999,-7,0,1,2171,-261
"146",4,-1,1,8,-8,12,0,0,0,0,0.4,-10,4,1,3841,2484
"147",-21,2,-1,-7,7,-10,0,-1,1,1,-0.600000000000001,16,4,1,-885,-2172
"148",-1,-2,-1,-5,5,-5,2,1,1,0,-0.600000000000001,-50,8,0,-2752,-2286
"149",0,-1,1,4,-4,11,0,0,0,0,0,7,-13,1,2081,466
"150",-1,3,1,1,-1,1,0,0,0,0,-0.2,23,2,0,453,-19
"151",-25,-2,1,2,-2,2,0,1,-1,0,-0.2,4,0,0,830,-1002
"152",4,-2,-1,0,0,-3,0,0,0,0,-0.2,35,0,0,94,-445
"153",57,1,-1,2,-2,6,2,1,1,0,0.4,-54,17,0,-722,891
"154",-20,-4,-1,-1,1,-1,0,-1,1,0,-0.2,8,-6,0,-1491,-799
"155",-3,0,-1,-8,8,-13,-2,-1,-1,0,-0.2,-3,22,0,-3109,-1745
"156",-1,0,1,-4,4,-2,-1,-1,0,0,0,52,5,0,537,-477
"157",-24,8,-1,8,-8,4,2,1,1,0,1.2,14,31,1,4079,5568
"158",74,2,-1,5,-5,7,0,0,0,1,0.600000000000001,3,3,1,4006,2081
"159",2,2,1,-7,7,-6,-2,-1,-1,0,-1.2,-46,-15,0,-3582,-5395
"160",-3,1,-1,0,0,0,-1,-1,0,0,0,-19,8,1,-355,233
"161",-23,10,1,1,-1,2,0,0,0,1,0.199999999999999,29,24,1,3464,994
"162",4,1,1,4,-4,6,0,1,-1,0,0.4,-4,28,1,2217,2183
"163",0,-2,1,5,-5,7,2,1,1,0,0.2,1,5,1,3049,1511
"164",-12,0,-1,-1,1,-3,1,1,0,0,0,-1,4,1,-305,-474
"165",39,0,-1,2,-2,5,0,1,-1,0,0,11,-1,0,1325,479
"166",3,-2,1,0,0,1,-1,-1,0,0,0,18,-8,1,-53,87
"167",19,-3,-1,-4,4,-2,-1,-1,0,0,-0.2,-41,8,0,-2865,-1441
"168",-23,1,1,0,0,-3,-1,-1,0,0,-0.2,-2,2,0,-93,-561
"169",4,2,1,-1,1,-3,-1,-1,0,0,-0.600000000000001,13,-4,0,-420,-1185
"170",-38,0,1,4,-4,3,0,1,-1,0,0.600000000000001,74,19,1,5008,2355
"171",0,-1,1,-2,2,-4,-2,-1,-1,0,-0.399999999999999,-8,-3,0,-2074,-1795
"172",-6,2,-1,1,-1,0,1,0,1,0,0.2,-2,15,1,-3,1013
"173",-6,-1,1,0,0,-2,-2,-1,-1,0,0,-36,0,0,-837,-660
"174",1,-2,1,0,0,0,0,1,-1,0,-0.4,13,-16,1,510,-747
"175",2,-1,-1,-5,5,-4,1,1,0,0,-0.600000000000001,-14,-17,0,-3549,-2407
"176",-39,2,-1,0,0,-1,-1,-1,0,0,0.4,41,-12,1,272,359
"177",-27,-1,1,4,-4,4,0,0,0,0,0.2,24,-1,1,2187,2189
"178",1,-1,-1,-6,6,-7,-1,0,-1,-1,-0.8,-20,-7,0,-4907,-2556
"179",-2,2,1,1,-1,-2,1,1,0,0,0.4,28,0,1,63,648
"180",2,-2,-1,-4,4,-7,0,-1,1,0,0,-8,21,1,-2132,-484
"181",-3,2,-1,-1,1,-3,0,-1,1,0,-0.6,-11,2,0,-976,-964
"182",50,-2,1,-2,2,-3,-1,-1,0,0,-0.600000000000001,-32,8,0,-1342,-1966
"183",2,-2,1,6,-6,3,1,1,0,0,1,21,-4,1,2304,2532
"184",-68,3,-1,8,-8,10,-1,-1,0,0,0.600000000000001,-1,14,1,4219,3379
"185",-24,1,1,-1,1,-2,0,0,0,0,-0.4,-63,-1,0,-2049,-2340
"186",-4,0,-1,-4,4,-2,-1,-1,0,0,-0.8,-49,-19,0,-4179,-3823
"187",-2,2,-1,0,0,6,-1,-1,0,0,0.2,24,-16,0,-66,-1073
"188",2,2,-1,2,-2,9,2,1,1,0,0,-37,4,1,510,142
"189",0,1,1,1,-1,1,0,-1,1,0,0.4,55,18,0,2591,1567
"190",1,0,1,-8,8,-15,-1,-1,0,-1,-1,21,-7,0,-3772,-3034
"191",8,-1,1,0,0,4,1,1,0,0,-0.2,7,-8,0,965,-878
"192",-3,-1,-1,-4,4,-6,-2,-1,-1,0,-0.800000000000001,-36,-36,0,-3468,-2158
"193",12,1,1,11,-11,11,0,0,0,0,1,16,9,1,6153,3916
"194",-41,-2,-1,-5,5,-8,-1,-1,0,0,-0.6,4,0,0,-2216,-2730
"195",-2,-2,-1,-5,5,-10,1,1,0,0,-0.600000000000001,-15,11,0,-2308,-1767
"196",3,2,1,0,0,2,0,-1,1,0,-0.4,16,3,1,1917,-179
"197",1,0,-1,-3,3,-2,-1,-1,0,0,-0.4,24,-32,0,-1676,-1759
"198",5,1,1,5,-5,1,1,1,0,0,0.4,28,-12,1,2709,1259
"199",-23,-1,-1,-2,2,-7,-1,-1,0,0,-0.2,6,-10,0,-1304,-552
"200",28,3,1,3,-3,5,1,1,0,0,0.2,7,-1,1,1824,1409
"201",0,2,-1,3,-3,6,-2,-1,-1,0,-0.2,-38,-6,0,229,-45
"202",-14,0,-1,0,0,3,1,0,1,0,0.2,38,1,1,1507,1667
"203",-5,0,-1,-4,4,-1,1,1,0,0,0,-4,4,0,-1787,-1135
"204",-1,0,-1,1,-1,-1,0,0,0,0,0.4,52,-3,0,815,1397
"205",-2,1,-1,-9,9,-3,1,1,0,0,-1.2,-71,4,0,-4767,-5061
"206",-2,-1,-1,-2,2,-4,-1,-1,0,0,-0.4,-41,-21,0,-1861,-2532
"207",53,-4,-1,-13,13,-17,1,1,0,-1,-1.2,-60,24,0,-7655,-4485
"208",8,-5,-1,-5,5,-8,0,0,0,0,-0.4,-12,2,1,-2058,-2051
"209",-2,2,-1,0,0,4,1,1,0,0,-0.2,-12,-12,1,-575,-208
"210",-3,2,1,2,-2,1,1,0,1,0,0.4,33,3,0,1765,701
"211",-2,3,1,0,0,0,0,-1,1,0,0,35,-14,0,540,269
"212",-1,-1,-1,3,-3,4,-1,-1,0,0,-0.2,-18,0,1,862,-442
"213",20,2,1,4,-4,8,1,1,0,0,0,20,4,1,2761,1659
"214",-70,-2,-1,-5,5,-2,-1,-1,0,0,-0.4,13,17,0,-1249,-853
"215",18,-2,-1,0,0,-2,-1,-1,0,0,0,27,8,1,-75,655
"216",1,2,1,9,-9,6,1,1,0,0,1,52,20,1,5805,4777
"217",9,-1,-1,-2,2,-8,0,-1,1,0,0,-14,7,0,-810,-305
"218",107,-1,1,1,-1,4,1,0,1,0,0.2,-2,4,0,1034,706
"219",1,-7,1,-4,4,-4,-1,0,-1,0,-0.800000000000001,-29,-1,1,-2595,-2856
"220",6,4,-1,-1,1,2,-1,-1,0,0,0.2,5,7,1,-334,-73
"221",-2,3,1,7,-7,4,2,1,1,1,0.4,2,0,1,3806,2161
"222",21,1,-1,-5,5,-5,0,0,0,0,-0.4,-10,-21,0,-2711,-2547
"223",7,0,1,4,-4,1,0,0,0,0,0.2,47,2,1,2551,1754
"224",13,9,1,3,-3,6,1,1,0,0,-0.2,-41,-12,0,66,-446
"225",-20,2,-1,5,-5,10,1,1,0,0,0.4,-12,5,0,2242,727
"226",0,-2,-1,-3,3,-6,1,0,1,0,0,21,7,0,-893,-213
"227",16,0,-1,-3,3,-6,-1,-1,0,0,0,-18,13,0,-1208,-152
"228",-4,2,-1,8,-8,6,-1,-1,0,0,0.4,40,0,1,4003,2566
"229",4,-2,-1,2,-2,-2,1,1,0,0,0.4,34,-9,1,819,2149
"230",60,4,1,6,-6,9,-1,0,-1,0,0.4,47,3,1,4009,1935
"231",0,-2,-1,-1,1,-1,1,1,0,0,-0.4,-26,-6,0,-259,-1001
"232",11,0,1,3,-3,6,0,0,0,0,-0.2,32,-16,0,1728,-738
"233",0,3,-1,0,0,-3,0,-1,1,0,0.399999999999999,34,12,0,474,393
"234",2,0,1,6,-6,3,0,0,0,0,0,-2,-17,0,1863,328
"235",23,-1,-1,-6,6,-6,-1,-1,0,0,-0.4,-53,-4,0,-3846,-2306
"236",-4,0,-1,-2,2,-4,-1,-1,0,0,-0.2,-23,-29,0,-2373,-1592
"237",1,-3,-1,1,-1,5,1,1,0,0,-0.2,-5,-6,1,218,-204
"238",11,1,1,2,-2,2,0,0,0,0,0.600000000000001,20,19,1,2208,1929
"239",27,-2,-1,-2,2,-7,1,1,0,0,0,-24,12,0,-1440,-373
"240",13,-3,-1,-2,2,6,1,1,0,0,-0.399999999999999,-24,-32,0,-845,-1743
"241",4,-3,-1,-4,4,-7,-1,-1,0,0,-0.6,-68,4,0,-2635,-2694
"242",17,1,-1,5,-5,7,2,1,1,0,0.6,17,-5,1,2817,2414
"243",-3,1,-1,4,-4,1,2,1,1,0,0.2,-3,15,1,2812,2497
"244",-7,-1,-1,-5,5,-8,-1,-1,0,0,-0.600000000000001,-45,-4,0,-3864,-2759
"245",-2,0,-1,-1,1,1,1,1,0,0,0.4,3,16,1,334,955
"246",-4,2,1,1,-1,-3,1,1,0,0,0.6,50,4,1,1909,2436
"247",-19,0,1,0,0,-1,0,0,0,0,-0.2,27,-23,0,-346,-358
"248",11,-2,1,10,-10,9,-1,-1,0,0,1.4,63,23,1,5802,5396
"249",2,-1,1,2,-2,1,1,1,0,0,0.4,8,-1,1,1085,1048
"250",20,1,1,-7,7,-5,1,1,0,0,-0.600000000000001,15,-3,0,-2383,-1807
"251",15,3,-1,-1,1,-1,1,0,1,0,0.4,6,12,1,306,1895
"252",0,-3,1,-2,2,-1,-1,-1,0,0,-0.4,-6,-20,0,-1568,-1850
"253",-22,1,-1,-2,2,-10,0,1,-1,0,-0.2,7,4,1,-1419,-1156
"254",9,4,1,4,-4,3,0,-1,1,0,0.399999999999999,9,-8,1,2263,1634
"255",0,0,1,4,-4,7,-1,-1,0,0,0.4,13,-8,1,1374,1225
"256",-48,3,-1,10,-10,17,1,1,0,0,0.800000000000001,15,-4,1,4301,3444
"257",-2,-3,1,5,-5,3,0,0,0,0,0.8,39,2,1,3905,3713
"258",-1,0,-1,-5,5,-5,-1,-1,0,0,-0.4,-13,-9,1,-2919,-2318
"259",7,-5,1,6,-6,8,1,1,0,0,0.600000000000001,23,11,1,2923,2787
"260",4,-2,-1,-3,3,-6,-2,-1,-1,0,-0.2,-4,6,0,-1059,-951
"261",-2,-1,-1,-2,2,-4,0,-1,1,0,0,35,-4,0,-406,-14
"262",5,1,-1,4,-4,5,1,1,0,0,0,22,-16,1,1143,1251
"263",42,1,-1,2,-2,4,-1,-1,0,0,-0.2,20,12,1,736,266
"264",-2,-1,1,-9,9,-9,-1,-1,0,0,-0.600000000000001,-63,20,0,-4816,-3750
"265",-18,-1,-1,5,-5,1,2,1,1,0,1.2,28,25,1,3977,3949
"266",-2,3,-1,4,-4,6,-1,-1,0,0,0.6,43,0,1,3026,3357
"267",6,1,-1,-8,8,-14,1,1,0,0,-0.4,-34,11,0,-4262,-2426
"268",3,-1,1,3,-3,4,0,-1,1,1,0,-21,-7,0,2476,772
"269",-24,0,-1,-6,6,-7,-2,-1,-1,0,-0.800000000000001,-7,-14,0,-3545,-3206
"270",-14,0,-1,-5,5,-8,0,-1,1,0,-0.6,-40,-6,0,-4324,-2979
"271",2,1,-1,-1,1,1,1,1,0,0,-0.2,5,17,1,-496,-837
"272",1,1,-1,-2,2,-1,-1,-1,0,0,-0.4,15,-24,0,-1620,-1442
"273",4,-1,1,-4,4,-4,-1,-1,0,0,-0.4,3,4,1,-1334,-1607
"274",21,-5,1,1,-1,-5,0,0,0,0,0.2,-21,-12,0,-796,-217
"275",22,-15,1,4,-4,0,1,1,0,0,0.600000000000001,5,-16,1,1398,1804
"276",-1,2,1,2,-2,1,0,0,0,0,0.6,32,31,1,3005,1938
"277",0,0,1,-5,5,-4,0,0,0,0,-0.4,-16,-14,0,-3156,-3287
"278",5,-4,-1,-2,2,-4,2,1,1,0,0.4,22,9,1,-473,383
"279",-8,2,-1,-5,5,-8,-1,0,-1,0,-0.6,-29,-13,0,-3397,-2282
"280",27,-1,-1,-3,3,-7,-1,-1,0,0,-0.2,18,-31,0,-1937,-1514
"281",22,4,1,6,-6,7,0,0,0,0,0.4,25,1,1,3765,2661
"282",-3,-1,1,3,-3,2,0,1,-1,0,0,-26,4,0,384,-690
"283",0,-3,1,6,-6,8,1,1,0,0,0,-7,-7,1,2708,682
"284",-1,4,1,-4,4,-4,0,0,0,0,-0.2,-15,-10,0,-2427,-1462
"285",-30,1,1,3,-3,5,1,1,0,0,0.4,34,-23,1,1901,684
"286",22,-1,-1,5,-5,7,0,1,-1,0,0.4,14,20,1,2480,1699
"287",2,-4,-1,-9,9,-13,0,-1,1,0,-0.4,-29,21,0,-3581,-2467
"288",20,1,1,5,-5,9,2,1,1,0,0.4,-12,3,1,2911,1378
"289",0,-1,-1,-3,3,-2,0,-1,1,0,-0.2,-17,-3,0,-1245,-1370
"290",1,2,-1,2,-2,2,0,1,-1,0,-0.2,3,-3,0,166,-497
"291",-5,5,-1,-5,5,-4,0,0,0,-1,-0.8,-101,8,0,-6309,-3115
"292",-125,0,-1,-6,6,-1,-1,-1,0,0,-0.8,6,-17,0,-2047,-2555
"293",-4,1,1,-1,1,2,-1,-1,0,0,-0.2,-25,-7,0,-1464,-1509
"294",-26,1,1,2,-2,0,2,1,1,0,-0.2,2,0,1,874,-302
"295",-27,2,1,-3,3,-6,1,1,0,0,0,7,19,0,-627,183
"296",4,0,-1,0,0,1,0,0,0,0,0,-24,8,0,-334,-292
"297",3,-1,1,-1,1,-8,1,1,0,0,0.2,63,4,0,449,1210
"298",-7,2,-1,-3,3,-8,0,0,0,0,0,9,17,0,-780,-73
"299",2,2,-1,-2,2,-3,1,0,1,0,0.4,17,33,0,-205,1064
"300",0,4,-1,-1,1,0,0,0,0,0,-0.2,-42,4,0,-1731,-1585
"301",-13,-1,-1,1,-1,-2,1,1,0,0,-0.2,25,5,0,947,-188
"302",-2,0,1,-1,1,5,-1,-1,0,0,0,8,-13,0,-713,-1111
"303",2,-1,1,-1,1,-1,1,1,0,0,-0.4,16,10,1,1171,-1140
"304",-6,-1,1,-2,2,-1,-1,-1,0,0,-0.399999999999999,-5,12,0,-459,-307
"305",8,1,1,6,-6,8,-1,-1,0,0,0.600000000000001,-7,-20,1,2673,1388
"306",3,1,1,2,-2,7,1,1,0,0,-0.4,-14,-12,1,-251,-1675
